,intitule,rome,score,X1,X2,cluster
227,Intervention technique en formulation et analyse sensorielle,H1505,,19.0921546072996,60.016649932133504,8
228,Intervention technique qualité en mécanique et travail des métaux,H1506,,22.8301493525456,-16.570678040669197,63
229,Abattage et découpe des viandes,H2101,,21.198470600230998,79.8063273841437,7
230,Conduite d'équipement de production alimentaire,H2102,,8.135421623208929,-2.23739883523871,68
231,Assemblage d'ouvrages en bois,H2201,,-52.317473309314096,-33.1542521135425,51
232,Conduite d'équipement de fabrication de l'ameublement et du bois,H2202,,-38.3057675894484,-32.236942940112904,69
233,Conduite d'installation de production de panneaux bois,H2203,,-38.655799445797896,-31.744075187561002,69
234,Encadrement des industries de l'ameublement et du bois,H2204,,22.166640598681198,-23.5877561918293,70
235,Première transformation de bois d'oeuvre,H2205,,-39.2419052213923,-30.909397217699798,69
236,Réalisation de menuiserie bois et tonnellerie,H2206,,-57.61668659840671,-34.357273635085804,12
237,Réalisation de meubles en bois,H2207,,-52.182580784033604,-42.18389392693361,10
238,Réalisation d'ouvrages décoratifs en bois,H2208,,-51.8251619698052,-41.955475756927704,10
239,Intervention technique en ameublement et bois,H2209,,21.8650396278553,-23.303240281487003,70
240,Conduite d'équipement de production chimique ou pharmaceutique,H2301,,5.11811909537898,-71.0491665594357,71
241,"Assemblage - montage d'articles en cuirs, peaux",H2401,,-36.613915670868295,-64.1566071741759,15
242,Assemblage - montage de vêtements et produits textiles,H2402,,-36.72247536761979,-63.4006770068206,15
243,Conduite de machine de fabrication de produits textiles,H2403,,-12.0323858718487,-67.891939466284,45
244,Conduite de machine de production et transformation des fils,H2404,,-14.2316610399688,-64.8300337470178,45
245,Conduite de machine de textiles nontissés,H2405,,-12.134863796218,-64.52666713121161,45
246,Conduite de machine de traitement textile,H2406,,-11.434472416147498,-66.438226824745,45
247,Conduite de machine de transformation et de finition des cuirs et peaux,H2407,,-27.538086155995604,-59.165071138838904,72
248,Conduite de machine d'impression textile,H2408,,-27.9233234931491,-59.2933136674267,72
249,"Coupe cuir, textile et matériaux souples",H2409,,-33.9518607760031,-62.589324799463206,72
250,"Mise en forme, repassage et finitions en industrie textile",H2410,,-33.6545998381997,-61.3095677217474,72
251,Montage de prototype cuir et matériaux souples,H2411,,-39.560870765690495,-63.747316133671596,15
252,Patronnage - gradation,H2412,,-42.60485835111621,-65.61672860972399,15
253,"Préparation de fils, montage de métiers textiles",H2413,,-12.7696645252471,-64.5574945439943,45
254,Préparation et finition d'articles en cuir et matériaux souples,H2414,,-34.926961628123,-62.1850738482541,72
255,Contrôle en industrie du cuir et du textile,H2415,,-32.738060493998,-60.3053535933597,72
256,Encadrement de production de matériel électrique et électronique,H2501,,9.66846303395435,-0.769064929309912,68
257,Management et ingénierie de production,H2502,,35.176561357025896,-22.397818318067397,67
258,Pilotage d'unité élémentaire de production mécanique ou de travail des métaux,H2503,,10.9434526166609,-0.9035982632544929,68
259,Encadrement d'équipe en industrie de transformation,H2504,,27.4528900086822,-35.5789352460116,73
260,Encadrement d'équipe ou d'atelier en matériaux souples,H2505,,27.455450259654,-35.559689779565794,73
261,Bobinage électrique,H2601,,-2.57969539181725,-34.8209310225173,13
262,Câblage électrique et électromécanique,H2602,,-1.6310152130214097,-33.6311005771314,13
263,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",H2603,,2.88780340557257,-32.0413641489245,13
264,Montage de produits électriques et électroniques,H2604,,-6.02737324011425,-38.4843915747406,74
265,Montage et câblage électronique,H2605,,-1.6780634708513502,-32.5857926080181,13
